,VESSEL_UID,LATITUDE,LONGITUDE,TIME
174,6617829,-26.76245,311.33953,2013-01-09 15:00:00
175,6617829,-26.74208,311.45567,2013-01-09 16:00:00
176,6617829,-26.74272,311.45805,2013-01-09 17:00:00
177,6617829,-26.7627,311.33798,2013-01-09 18:00:00
178,6617829,-26.75563,311.3617,2013-01-09 20:00:00
179,6617829,-26.73948,311.35115,2013-01-09 21:00:00
180,6617829,-26.7395,311.3512,2013-01-09 23:00:00
181,6617829,-26.73932,311.3516,2013-01-10 00:00:00
182,6617829,-26.73933,311.35138,2013-01-10 01:00:00
183,6617829,-26.73937,311.35123,2013-01-10 03:00:00
184,6617829,-26.73962,311.35103,2013-01-10 04:00:00
185,6617829,-26.74063,311.35337,2013-01-10 06:00:00
186,6617829,-26.73422,311.45733,2013-01-10 07:00:00
187,6617829,-26.74615,311.45445,2013-01-10 08:00:00
188,6617829,-26.76302,311.33853,2013-01-10 10:00:00
189,6617829,-26.75638,311.36152,2013-01-10 11:00:00
190,6617829,-26.74677,311.45805,2013-01-10 12:00:00
191,6617829,-26.74005,311.45697,2013-01-10 13:00:00
192,6617829,-26.75677,311.35705,2013-01-10 15:00:00
193,6617829,-26.73823,311.35457,2013-01-10 21:00:00
194,6617829,-26.7384,311.35445,2013-01-10 23:00:00
195,6617829,-26.73822,311.35462,2013-01-11 00:00:00
196,6617829,-26.73757,311.39353,2013-01-11 02:00:00
197,6617829,-26.73727,311.45558,2013-01-11 03:00:00
198,6617829,-26.73822,311.454,2013-01-11 04:00:00
199,6617829,-26.75213,311.46557,2013-01-11 05:00:00
200,6617829,-26.74057,311.46347,2013-01-11 06:00:00
201,6617829,-26.75175,311.4686,2013-01-11 07:00:00
202,6617829,-26.76167,311.34027,2013-01-11 08:00:00
203,6617829,-26.7557,311.36183,2013-01-11 09:00:00
204,6617829,-26.74648,311.45675,2013-01-11 10:00:00
205,6617829,-26.7437,311.45075,2013-01-11 12:00:00
206,6617829,-26.76273,311.33838,2013-01-11 13:00:00
207,6617829,-26.74423,311.42012,2013-01-11 14:00:00
208,6617829,-26.74335,311.46422,2013-01-11 15:00:00
209,6617829,-26.74787,311.40698,2013-01-11 16:00:00
210,6617829,-26.74937,311.39292,2013-01-11 19:00:00
211,6617829,-26.7425,311.45852,2013-01-11 20:00:00
212,6617829,-26.75082,311.41338,2013-01-11 21:00:00
213,6617829,-26.76275,311.33772,2013-01-11 22:00:00
214,6617829,-26.7447,311.42537,2013-01-11 23:00:00
215,6617829,-26.75022,311.45397,2013-01-12 00:00:00
216,6617829,-26.75167,311.40058,2013-01-12 01:00:00
217,6617829,-26.75587,311.36242,2013-01-12 03:00:00
218,6617829,-26.74047,311.45368,2013-01-12 05:00:00
219,6617829,-26.74982,311.45292,2013-01-12 06:00:00
220,6617829,-26.7629,311.33862,2013-01-12 07:00:00
221,6617829,-26.75632,311.36205,2013-01-12 08:00:00
222,6617829,-26.74527,311.4578,2013-01-12 09:00:00
223,6617829,-26.74568,311.44875,2013-01-12 10:00:00
224,6617829,-26.7631,311.33862,2013-01-12 11:00:00
225,6617829,-26.75707,311.3605,2013-01-12 12:00:00
226,6617829,-26.74442,311.45473,2013-01-12 13:00:00
227,6617829,-26.74472,311.44853,2013-01-12 14:00:00
228,6617829,-26.75612,311.36225,2013-01-12 17:00:00
229,6617829,-26.74492,311.4571,2013-01-12 18:00:00
230,6617829,-26.74785,311.43772,2013-01-12 19:00:00
231,6617829,-26.76322,311.33763,2013-01-12 20:00:00
232,6617829,-26.74948,311.4105,2013-01-12 22:00:00
233,6617829,-26.74398,311.45982,2013-01-12 23:00:00
234,6617829,-26.75728,311.35558,2013-01-13 00:00:00
235,6617829,-26.75603,311.3651,2013-01-13 01:00:00
236,6617829,-26.74045,311.4594,2013-01-13 02:00:00
237,6617829,-26.7403,311.4595,2013-01-13 04:00:00
238,6617829,-26.76288,311.33902,2013-01-13 05:00:00
239,6617829,-26.7624,311.33893,2013-01-13 07:00:00
240,6617829,-26.76243,311.33897,2013-01-13 08:00:00
241,6617829,-26.7625,311.3391,2013-01-13 09:00:00
242,6617829,-26.76242,311.33907,2013-01-13 10:00:00
243,6617829,-26.76242,311.3385,2013-01-13 11:00:00
244,6617829,-26.76308,311.3376,2013-01-13 14:00:00
245,6617829,-26.7413,311.45205,2013-01-13 15:00:00
246,6617829,-26.74648,311.46655,2013-01-13 16:00:00
247,6617829,-26.75432,311.36807,2013-01-13 17:00:00
248,6617829,-26.75595,311.36223,2013-01-13 19:00:00
249,6617829,-26.74742,311.45375,2013-01-13 20:00:00
250,6617829,-26.74715,311.45912,2013-01-13 21:00:00
251,6617829,-26.76297,311.33845,2013-01-13 22:00:00
252,6617829,-26.75633,311.36212,2013-01-13 23:00:00
253,6617829,-26.74653,311.42873,2013-01-14 01:00:00
254,6617829,-26.76355,311.33855,2013-01-14 02:00:00
255,6617829,-26.75138,311.39075,2013-01-14 03:00:00
256,6617829,-26.74613,311.45745,2013-01-14 05:00:00
257,6617829,-26.74688,311.42462,2013-01-14 06:00:00
258,6617829,-26.76278,311.33845,2013-01-14 07:00:00
259,6617829,-26.7499,311.39625,2013-01-14 08:00:00
260,6617829,-26.74883,311.45798,2013-01-14 09:00:00
